ID;ImiÍ;Nazwisko ;Wiek;Kurs
1;Anna;NOWAK;34;DS.
2;Roman;KOWALSKI;42;DS.
3;Tomasz;WIåNIEWSKI;33;DS.
4;Agata;W”JCIK;43;DS.
5;Eløbieta;KOWALCZYK;28;Java
6;Przemys≥aw;KOWALCZYK;34;Java
7;Robert;kOWALCZYK;35;Java
8;Rados≥aw;ZIELI—SKI;38;Java
9;;WOèNIAK;26;Java
10;Robert;SZYMA—SKI;34;Java
11;Rados≥aw;D•BROWSKI;35;
12;Robert;KOZ£OWSKI;NULL;UX
13;Joanna;MAZUR;26;UX
14;Rados≥aw;JANKOWSKI;27;UX
15;Patryk;LEWANDOWSKI;28;Tester
16;;ZIELI—SKI;28;Tester
17;Andrzej;WOèNIAK;31;Tester
18;Andrzej;LEWANDOWSKI;30;Tester
19;Roman;KOWALCZYK;39;Tester
20;Ewa;WOèNIAK;31;Tester
